YR,M,D,HR,MIN,DM,RRP
2000,1,4,10,30,1327.84,34.46
2000,1,4,11,0,1332.275,34.46
2000,1,4,11,30,1341.165,41.42
2000,1,4,12,0,1336.735,41.42
2000,1,4,12,30,1340.97833,41.42
2000,1,4,13,0,1364.16,41.42
2000,1,4,13,30,1359.67,51.17
2000,1,4,14,0,1370.27333,51.17
2000,1,4,14,30,1364.04333,51.17
2000,1,4,15,0,1365.42167,51.17
2000,1,4,15,30,1349.71,54.16
2000,1,4,16,0,1346.575,54.16
2000,1,4,16,30,1347.08167,54.16
2000,1,4,17,0,1337.99,54.16
2000,1,4,17,30,1323.08667,39.51
2000,1,4,18,0,1284.385,32.29
2000,1,4,18,30,1248.27833,16.28
2000,1,4,19,0,1227.55,16.28
2000,1,4,19,30,1200.10167,16.31
2000,1,4,20,0,1201.75667,16.49
2000,1,4,20,30,1235.20667,19.33
2000,1,4,21,0,1259.8,17.15
2000,1,4,21,30,1268.83833,27.24
2000,1,4,22,0,1251.32333,20.03
2000,1,4,22,30,1219.26,17.53
2000,1,4,23,0,1236.65167,18
2000,1,4,23,30,1267.41,34.69
2000,1,5,0,0,1346.69,39.51
2000,1,5,0,30,1354.00667,41.42
2000,1,5,1,0,1385.88167,41.43
2000,1,5,1,30,1303.22333,30.38
2000,1,5,2,0,1216.97333,25.74
2000,1,5,2,30,1127.88833,16.27
2000,1,5,3,0,1077.74,15.4
2000,1,5,3,30,1050.83,14.75
2000,1,5,4,0,1036.04333,14.1
2000,1,5,4,30,1019.99,14.39
2000,1,5,5,0,1029.84167,14.56
2000,1,5,5,30,1040.21833,14.93
2000,1,5,6,0,1085.235,15.93
2000,1,5,6,30,1118.23333,19.43
2000,1,5,7,0,1191.47,19.39
2000,1,5,7,30,1247.185,20.47
2000,1,5,8,0,1263.11333,17.65
2000,1,5,8,30,1282.07333,30.71
2000,1,5,9,0,1304.68167,33.06
2000,1,5,9,30,1298.465,25.27
2000,1,5,10,0,1304.36,34.78
2000,1,5,10,30,1302.03,16.73
2000,1,5,11,0,1315.43833,23.77
2000,1,5,11,30,1322.69,23
2000,1,5,12,0,1306.38333,16.6
2000,1,5,12,30,1322.35333,36.51
2000,1,5,13,0,1357.03,39.85
2000,1,5,13,30,1366.68833,51.16
2000,1,5,14,0,1381.875,51.17
2000,1,5,14,30,1378.85,51.17
2000,1,5,15,0,1375.47,51.17
2000,1,5,15,30,1357.955,54.16
2000,1,5,16,0,1362.35333,54.16
2000,1,5,16,30,1358.70167,54.16
2000,1,5,17,0,1361.31667,54.16
2000,1,5,17,30,1345.65333,39.51
2000,1,5,18,0,1310.21333,39.51
2000,1,5,18,30,1284.74833,28.79
2000,1,5,19,0,1249.245,15.5
2000,1,5,19,30,1225.81,15.17
2000,1,5,20,0,1230.65,15.48
2000,1,5,20,30,1276.99833,26.28
2000,1,5,21,0,1289.53,36.5
2000,1,5,21,30,1277.61333,27.35
2000,1,5,22,0,1269.085,20.59
2000,1,5,22,30,1247.67667,16.36
2000,1,5,23,0,1262.24667,19.44
2000,1,5,23,30,1299.17333,36.09
2000,1,6,0,0,1360.71167,39.51
2000,1,6,0,30,1367.425,39.51
2000,1,6,1,0,1393.41,39.83
2000,1,6,1,30,1311.61667,33.05
2000,1,6,2,0,1218.32333,22.21
2000,1,6,2,30,1139.92167,13.69
2000,1,6,3,0,1081.38667,10.14
2000,1,6,3,30,1034.84167,8.23
2000,1,6,4,0,1020.12333,9.63
2000,1,6,4,30,1033.44167,14.13
2000,1,6,5,0,1051.235,13.83
2000,1,6,5,30,1063.74333,14.25
2000,1,6,6,0,1087.38333,14.94
2000,1,6,6,30,1134.68,17.61
2000,1,6,7,0,1211.39167,23.45
2000,1,6,7,30,1273.13,36.5
2000,1,6,8,0,1281.505,36.5
2000,1,6,8,30,1317.215,34.46
2000,1,6,9,0,1336.80167,34.46
2000,1,6,9,30,1339.79833,30.71
2000,1,6,10,0,1328.94667,33.05
2000,1,6,10,30,1364.735,28.49
2000,1,6,11,0,1360.17333,16.26
2000,1,6,11,30,1369.28667,24.47
2000,1,6,12,0,1376.43167,31.47
2000,1,6,12,30,1386.29833,36.82
2000,1,6,13,0,1418.995,41.42
2000,1,6,13,30,1429.67833,51.17
2000,1,6,14,0,1440.87,51.17
2000,1,6,14,30,1428.79,51.18
2000,1,6,15,0,1434.40333,51.19
2000,1,6,15,30,1431.00333,54.18
2000,1,6,16,0,1422.035,54.18
2000,1,6,16,30,1408.59167,54.18
2000,1,6,17,0,1399.54,54.18
2000,1,6,17,30,1381.08167,39.52
2000,1,6,18,0,1352.78,39.51
2000,1,6,18,30,1311.30167,34.46
2000,1,6,19,0,1288.27,33.55
2000,1,6,19,30,1277.145,30.97
2000,1,6,20,0,1271.925,30.82
2000,1,6,20,30,1317.695,36.5
