YR,M,D,HR,MIN,DM,RRP
2000,1,4,9,0,4763.65167,14.03
2000,1,4,9,30,4815.13667,14.08
2000,1,4,10,0,4800.45,13.99
2000,1,4,10,30,4853.08,14
2000,1,4,11,0,4883.64667,14.19
2000,1,4,11,30,4885.1,14.28
2000,1,4,12,0,4879.53167,14.32
2000,1,4,12,30,4854.01833,14.36
2000,1,4,13,0,4845.285,14.21
2000,1,4,13,30,4836.23833,14.2
2000,1,4,14,0,4826.44167,14.23
2000,1,4,14,30,4797.32333,14.1
2000,1,4,15,0,4790.59833,13.98
2000,1,4,15,30,4786.49667,13.97
2000,1,4,16,0,4838.41667,14.03
2000,1,4,16,30,4888,13.97
2000,1,4,17,0,4918.15,13.99
2000,1,4,17,30,4861.535,13.99
2000,1,4,18,0,4794.28333,13.98
2000,1,4,18,30,4665.27,13.5
2000,1,4,19,0,4592.83167,13.95
2000,1,4,19,30,4597.385,14.16
2000,1,4,20,0,4629.91,14.34
2000,1,4,20,30,4610.88167,16.53
2000,1,4,21,0,4528.82333,14.44
2000,1,4,21,30,4401.08333,14.8
2000,1,4,22,0,4268.8,16.95
2000,1,4,22,30,4153.85167,15.03
2000,1,4,23,0,4112.785,15.32
2000,1,4,23,30,4605.96,28.09
2000,1,5,0,0,4592.53,16.4
2000,1,5,0,30,4480.805,16.99
2000,1,5,1,0,4342.18333,14.68
2000,1,5,1,30,4663.67333,16.16
2000,1,5,2,0,4541.715,15.03
2000,1,5,2,30,4335.83167,13.99
2000,1,5,3,0,4143.82,13.61
2000,1,5,3,30,4011.265,13.25
2000,1,5,4,0,3913.095,12.81
2000,1,5,4,30,3901.08167,13.27
2000,1,5,5,0,3935.43167,13.38
2000,1,5,5,30,4118.235,13.88
2000,1,5,6,0,4320.65833,14.51
2000,1,5,6,30,4600.86,17.42
2000,1,5,7,0,4815.99667,16.99
2000,1,5,7,30,4790.42833,17.44
2000,1,5,8,0,4822.40833,14.85
2000,1,5,8,30,4918.13667,20.25
2000,1,5,9,0,4939.12667,14.3
2000,1,5,9,30,4991.93,14.05
2000,1,5,10,0,4995.22833,14.04
2000,1,5,10,30,5000.36833,14.11
2000,1,5,11,0,4986.955,14.16
2000,1,5,11,30,4968.06667,14.07
2000,1,5,12,0,4950.295,14.04
2000,1,5,12,30,4933.14833,14.13
2000,1,5,13,0,4914,14.12
2000,1,5,13,30,4921.36333,14.12
2000,1,5,14,0,4920.30667,14.05
2000,1,5,14,30,4911.935,14.12
2000,1,5,15,0,4885.91167,14.17
2000,1,5,15,30,4904.11667,14.17
2000,1,5,16,0,4957.32333,14.18
2000,1,5,16,30,4963.03333,14.13
2000,1,5,17,0,4913.68333,14.09
2000,1,5,17,30,4811.51667,13.89
2000,1,5,18,0,4674.95167,13.67
2000,1,5,18,30,4538.54,13.32
2000,1,5,19,0,4461.96,13.15
2000,1,5,19,30,4404.09667,13.02
2000,1,5,20,0,4468.315,13.25
2000,1,5,20,30,4565.62167,13.6
2000,1,5,21,0,4544.715,13.6
2000,1,5,21,30,4448.61,13.89
2000,1,5,22,0,4345.28833,13.86
2000,1,5,22,30,4266.74667,13.85
2000,1,5,23,0,4236.20333,13.87
2000,1,5,23,30,4714.38,14.79
2000,1,6,0,0,4740.23167,14.52
2000,1,6,0,30,4607.40333,14.09
2000,1,6,1,0,4443.795,13.93
2000,1,6,1,30,4747.11333,14.06
2000,1,6,2,0,4625.20333,13.77
2000,1,6,2,30,4406.54667,11.81
2000,1,6,3,0,4191.07333,8.89
2000,1,6,3,30,4040.39667,7.15
2000,1,6,4,0,3969.065,8.18
2000,1,6,4,30,3995.895,12.22
2000,1,6,5,0,4043.33833,12.23
2000,1,6,5,30,4193.35833,12.66
2000,1,6,6,0,4370.00167,13.13
2000,1,6,6,30,4655.42,15.13
2000,1,6,7,0,4914.305,17.48
2000,1,6,7,30,4863.15333,20.61
2000,1,6,8,0,4890.16333,20.06
2000,1,6,8,30,4937.44667,23.65
2000,1,6,9,0,4962.12,18.1
2000,1,6,9,30,4980.37833,14.46
2000,1,6,10,0,4972.855,14.38
2000,1,6,10,30,4996.74667,13.92
2000,1,6,11,0,4979.145,13.86
2000,1,6,11,30,4771.305,13.09
2000,1,6,12,0,4990.86,13.85
2000,1,6,12,30,5000.475,13.77
2000,1,6,13,0,5001.535,13.77
2000,1,6,13,30,4985.47667,13.71
2000,1,6,14,0,4956.48833,13.44
2000,1,6,14,30,4963.65167,13.35
2000,1,6,15,0,4955.08167,13.23
2000,1,6,15,30,4972.94667,13.71
2000,1,6,16,0,5031.39,13.36
2000,1,6,16,30,5062.125,13.44
2000,1,6,17,0,5063.65833,13.43
2000,1,6,17,30,4954.50333,13.14
2000,1,6,18,0,4805.08167,13.3
2000,1,6,18,30,4672.075,12.94
2000,1,6,19,0,4581.36,12.62
2000,1,6,19,30,4516.67667,12.7
2000,1,6,20,0,4548.49167,12.84
2000,1,6,20,30,4623.66833,13.04
2000,1,6,21,0,4574.055,12.52
2000,1,6,21,30,4489.33667,13.01
2000,1,6,22,0,4374.08667,12.9
2000,1,6,22,30,4297.90167,13.2
2000,1,6,23,0,4297.68667,12.99
2000,1,6,23,30,4764.815,15.61
2000,1,7,0,0,4740.75667,14.17
2000,1,7,0,30,4633.48333,13.5
2000,1,7,1,0,4460.30167,13.08
2000,1,7,1,30,4747.48333,13.78
2000,1,7,2,0,4611.71,13.19
2000,1,7,2,30,4396.94,11.65
2000,1,7,3,0,4174.745,7.41
2000,1,7,3,30,4053.185,4.56
2000,1,7,4,0,3975.15167,4.51
2000,1,7,4,30,3957.65333,11.64
2000,1,7,5,0,4008.40333,11.64
2000,1,7,5,30,4178.03167,12.26
2000,1,7,6,0,4373.09667,12.72
2000,1,7,6,30,4640.215,13.04
2000,1,7,7,0,4871.82333,13.79
2000,1,7,7,30,4812.86833,12.76
2000,1,7,8,0,4884.48667,13
2000,1,7,8,30,4969.62,13.04
2000,1,7,9,0,4950.805,12.85
2000,1,7,9,30,4970.245,12.86
2000,1,7,10,0,4986.98167,13.42
2000,1,7,10,30,5017.27667,13.45
2000,1,7,11,0,5027.135,13.98
2000,1,7,11,30,5039.78333,14.03
2000,1,7,12,0,5061.03333,14.48
2000,1,7,12,30,5048.22,15.46
2000,1,7,13,0,5026.68833,14.91
2000,1,7,13,30,5026.88167,15.64
2000,1,7,14,0,5018.25833,14.76
2000,1,7,14,30,4990.7,15.64
2000,1,7,15,0,4989.83833,14.83
2000,1,7,15,30,5028.255,14.87
2000,1,7,16,0,5072.12833,15.26
2000,1,7,16,30,5067.80167,15.01
2000,1,7,17,0,5043.56833,15.55
2000,1,7,17,30,4901.76333,14.25
2000,1,7,18,0,4762.08167,13.85
2000,1,7,18,30,4624.20667,13.54
2000,1,7,19,0,4548.13333,13.37
2000,1,7,19,30,4504.11,13.31
2000,1,7,20,0,4503.24,13.38
2000,1,7,20,30,4565.85333,13.55
2000,1,7,21,0,4513.37333,13.41
2000,1,7,21,30,4432.04667,13.56
2000,1,7,22,0,4314.12333,13.36
2000,1,7,22,30,4298.27,15.45
2000,1,7,23,0,4308.87167,16.78
2000,1,7,23,30,4785.81667,21.63
2000,1,8,0,0,4772.515,18.04
2000,1,8,0,30,4618.84833,14.78
2000,1,8,1,0,4448.98167,13.74
2000,1,8,1,30,4725.59167,16.99
2000,1,8,2,0,4593.65,15.11
2000,1,8,2,30,4369.93667,13.07
2000,1,8,3,0,4169.51333,12.59
2000,1,8,3,30,4018.56,9.53
2000,1,8,4,0,3912.83,9.27
2000,1,8,4,30,3898.79833,8.46
2000,1,8,5,0,3859.99167,8.47
2000,1,8,5,30,3897.02,9.28
2000,1,8,6,0,3968.18667,12.21
2000,1,8,6,30,4102.04833,12.41
2000,1,8,7,0,4264.42833,12.69
2000,1,8,7,30,4264.725,12.72
2000,1,8,8,0,4359.95167,12.83
2000,1,8,8,30,4473.865,13.88
2000,1,8,9,0,4560.77333,14.89
2000,1,8,9,30,4613.25333,14.95
2000,1,8,10,0,4658.01167,15.3
2000,1,8,10,30,4655.48,14.73
2000,1,8,11,0,4667.62833,14.51
2000,1,8,11,30,4671.44667,14.76
2000,1,8,12,0,4645.595,14.21
2000,1,8,12,30,4621.875,14.06
2000,1,8,13,0,4626.19667,14.15
2000,1,8,13,30,4663.845,14.06
2000,1,8,14,0,4634.26167,13.88
2000,1,8,14,30,4668.21667,13.86
2000,1,8,15,0,4686.76,13.89
2000,1,8,15,30,4707.22333,14.34
