YR,M,D,HR,MIN,DM,RRP
2000,1,4,9,0,5319.14667,35.23
2000,1,4,9,30,5351.77,35
2000,1,4,10,0,5340.09667,35
2000,1,4,10,30,5348.92,34.18
2000,1,4,11,0,5345.12667,34.02
2000,1,4,11,30,5330.91833,34.01
2000,1,4,12,0,5345.08167,34.02
2000,1,4,12,30,5316.72333,33.97
2000,1,4,13,0,5305.75,33.92
2000,1,4,13,30,5309.52,33.96
2000,1,4,14,0,5317.73,34.02
2000,1,4,14,30,5352.035,34.02
2000,1,4,15,0,5360.50667,34.08
2000,1,4,15,30,5340.42333,34.03
2000,1,4,16,0,5336.32167,34.02
2000,1,4,16,30,5321.15,34.01
2000,1,4,17,0,5342.83333,34.03
2000,1,4,17,30,5297.69,33.8
2000,1,4,18,0,5203.53833,28.43
2000,1,4,18,30,5160.37,24.63
2000,1,4,19,0,5174.57833,28.63
2000,1,4,19,30,5283.76167,33.67
2000,1,4,20,0,5211.685,32.89
2000,1,4,20,30,5056.20167,24.53
2000,1,4,21,0,4934.59833,22.3
2000,1,4,21,30,4815.175,20.93
2000,1,4,22,0,4728.32333,21.36
2000,1,4,22,30,4747.04333,23.63
2000,1,4,23,0,4779.64833,24.53
2000,1,4,23,30,4846.18833,33.65
2000,1,5,0,0,4592.89333,27.21
2000,1,5,0,30,4261.76167,17.5
2000,1,5,1,0,3923.34,21.91
2000,1,5,1,30,3762.49167,17.42
2000,1,5,2,0,3727.445,17.88
2000,1,5,2,30,3662.295,15.2
2000,1,5,3,0,3634.08667,15.1
2000,1,5,3,30,3594.57833,12.73
2000,1,5,4,0,3586.52167,12.98
2000,1,5,4,30,3614.005,13.68
2000,1,5,5,0,3685.565,16.56
2000,1,5,5,30,3779.115,17.97
2000,1,5,6,0,3920.745,18.65
2000,1,5,6,30,4185.095,18.07
2000,1,5,7,0,4443.25,21.57
2000,1,5,7,30,4760.08667,20.79
2000,1,5,8,0,5050.36333,24.25
2000,1,5,8,30,5262.36833,32.09
2000,1,5,9,0,5433.06667,34.36
2000,1,5,9,30,5537.69167,35
2000,1,5,10,0,5527.48833,35
2000,1,5,10,30,5563.78167,35
2000,1,5,11,0,5558.935,35
2000,1,5,11,30,5625.39333,41.25
2000,1,5,12,0,5622.44833,44.04
2000,1,5,12,30,5658.87833,40.79
2000,1,5,13,0,5661.29,41.89
2000,1,5,13,30,5706.45667,44.52
2000,1,5,14,0,5705.88167,56.39
2000,1,5,14,30,5656.44333,45.27
2000,1,5,15,0,5597.73,47.2
2000,1,5,15,30,5675.75167,46.03
2000,1,5,16,0,5663.05833,40.55
2000,1,5,16,30,5646.01333,39.73
2000,1,5,17,0,5663.08167,39.84
2000,1,5,17,30,5586.895,35
2000,1,5,18,0,5488.695,34.84
2000,1,5,18,30,5356.61667,33.92
2000,1,5,19,0,5339.06833,33.75
2000,1,5,19,30,5428.24833,34.35
2000,1,5,20,0,5375.72667,33.93
2000,1,5,20,30,5181.58167,26.04
2000,1,5,21,0,5079.13667,24.05
2000,1,5,21,30,4908.03833,21.36
2000,1,5,22,0,4780.35167,21.3
2000,1,5,22,30,4814.945,23.04
2000,1,5,23,0,4838.86667,24.51
2000,1,5,23,30,4903.40167,30.15
2000,1,6,0,0,4612.43167,23.19
2000,1,6,0,30,4273.77333,19.24
2000,1,6,1,0,4010.95833,17.5
2000,1,6,1,30,3866.31,21.1
2000,1,6,2,0,3771.41,17.36
2000,1,6,2,30,3726.35167,16.23
2000,1,6,3,0,3659.45,14.89
2000,1,6,3,30,3659.68,14.55
2000,1,6,4,0,3652.09833,14.89
2000,1,6,4,30,3690.92167,16.09
2000,1,6,5,0,3716.94833,17.23
2000,1,6,5,30,3826.90167,18.6
2000,1,6,6,0,3920.99,18.62
2000,1,6,6,30,4229.75667,17.5
2000,1,6,7,0,4486.76333,19.17
2000,1,6,7,30,4754.905,20.32
2000,1,6,8,0,5031.955,23.9
2000,1,6,8,30,5281.12667,33.51
2000,1,6,9,0,5400.29833,36.21
2000,1,6,9,30,5424.94167,34.51
2000,1,6,10,0,5464.25,34.67
2000,1,6,10,30,5455.67167,34.02
2000,1,6,11,0,5431.10833,34.01
2000,1,6,11,30,5457.92833,34.05
2000,1,6,12,0,5458.15167,33.96
2000,1,6,12,30,5452.92667,34.08
2000,1,6,13,0,5446.355,33.47
2000,1,6,13,30,5406.75333,24.6
2000,1,6,14,0,5403.725,31.41
2000,1,6,14,30,5397.545,30.19
2000,1,6,15,0,5421.82333,33.3
2000,1,6,15,30,5428.37667,33.5
2000,1,6,16,0,5336.20333,27.31
2000,1,6,16,30,5377.745,31.41
2000,1,6,17,0,5370.605,32.69
2000,1,6,17,30,5350.69833,33.09
2000,1,6,18,0,5386.60333,33.88
2000,1,6,18,30,5267.05667,27.12
2000,1,6,19,0,5364.10333,33.3
2000,1,6,19,30,5409.07333,33.76
2000,1,6,20,0,5331.44667,31.81
2000,1,6,20,30,5175.58,24.53
2000,1,6,21,0,5080.64333,24.2
2000,1,6,21,30,4889.98333,21.32
2000,1,6,22,0,4753.18167,20.86
2000,1,6,22,30,4776.51167,22.72
2000,1,6,23,0,4820.84833,24.5
2000,1,6,23,30,4885.27667,25.92
2000,1,7,0,0,4671.24167,25.21
2000,1,7,0,30,4284.47667,18.08
2000,1,7,1,0,4047.06333,17.5
2000,1,7,1,30,3860.15833,21.81
2000,1,7,2,0,3787.49667,17.4
2000,1,7,2,30,3745.83667,16.86
2000,1,7,3,0,3709.24,16.68
2000,1,7,3,30,3688.62167,16.5
2000,1,7,4,0,3677.99333,16.09
2000,1,7,4,30,3697.85,16.2
2000,1,7,5,0,3736.50833,16.83
2000,1,7,5,30,3788.195,18.56
2000,1,7,6,0,3882.145,16.91
2000,1,7,6,30,4221.455,17.49
2000,1,7,7,0,4509.77167,19.63
2000,1,7,7,30,4797.185,20.29
2000,1,7,8,0,5077.85167,23.77
2000,1,7,8,30,5249.77833,30.33
2000,1,7,9,0,5412.44333,34.05
2000,1,7,9,30,5510.875,35
2000,1,7,10,0,5487.23667,35
2000,1,7,10,30,5468.11333,35
2000,1,7,11,0,5481.02667,35
2000,1,7,11,30,5516.47,35
2000,1,7,12,0,5543.88,35.65
2000,1,7,12,30,5534.33333,34.19
2000,1,7,13,0,5488.83833,35
2000,1,7,13,30,5499.42167,35
2000,1,7,14,0,5454.58833,35
2000,1,7,14,30,5377.33833,35
2000,1,7,15,0,5409.67,35
2000,1,7,15,30,5371.99833,35
2000,1,7,16,0,5329.00167,34.51
2000,1,7,16,30,5323.09333,34.02
2000,1,7,17,0,5414.33667,34.35
2000,1,7,17,30,5326.19833,33.84
2000,1,7,18,0,5243.18833,31.63
2000,1,7,18,30,5130.065,24.53
2000,1,7,19,0,5151.65833,24.53
2000,1,7,19,30,5206.58833,29.75
2000,1,7,20,0,5138.435,27.1
2000,1,7,20,30,5005.005,24.5
2000,1,7,21,0,4923.24667,22.28
2000,1,7,21,30,4815.205,20.95
2000,1,7,22,0,4674.84833,20.81
2000,1,7,22,30,4709.01833,22.72
2000,1,7,23,0,4808.73167,28.85
2000,1,7,23,30,4847.37333,33.98
2000,1,8,0,0,4639.76333,28.97
2000,1,8,0,30,4294.97667,22.58
2000,1,8,1,0,3987.91,17.5
2000,1,8,1,30,3814.72667,17.5
2000,1,8,2,0,3673.945,17.49
2000,1,8,2,30,3659.24333,21.65
2000,1,8,3,0,3569.78333,17.38
2000,1,8,3,30,3556.425,17.32
2000,1,8,4,0,3527.64833,17.33
2000,1,8,4,30,3554.73833,17.4
2000,1,8,5,0,3580.38833,18.07
2000,1,8,5,30,3580.715,18.06
2000,1,8,6,0,3654.86167,17.45
2000,1,8,6,30,3794.95667,17.49
2000,1,8,7,0,3969.925,17.5
2000,1,8,7,30,4166.32167,17.5
2000,1,8,8,0,4376.17667,19.73
2000,1,8,8,30,4636.37,23.47
2000,1,8,9,0,4775.245,27.14
2000,1,8,9,30,4898.13833,29.62
2000,1,8,10,0,4934.19,24.51
2000,1,8,10,30,4926.45833,28.64
2000,1,8,11,0,4929.44667,32.46
2000,1,8,11,30,4878.68667,32.15
2000,1,8,12,0,4862.98167,32.16
2000,1,8,12,30,4840.54833,30.86
2000,1,8,13,0,4803.52667,28.36
2000,1,8,13,30,4759.02167,24.55
2000,1,8,14,0,4725.70167,24.51
2000,1,8,14,30,4706.575,24.5
2000,1,8,15,0,4709.61333,24.36
2000,1,8,15,30,4680.63667,23.9
2000,1,8,16,0,4719.03167,24.5
2000,1,8,16,30,4688.83167,24.2
2000,1,8,17,0,4724.03833,24.51
2000,1,8,17,30,4760.25167,24.54
2000,1,8,18,0,4769.24167,24.56
2000,1,8,18,30,4791.87333,24.53
2000,1,8,19,0,4886.72833,28.34
2000,1,8,19,30,5001.47667,32.43
2000,1,8,20,0,4965.54,30.92
2000,1,8,20,30,4793.45667,24.5
2000,1,8,21,0,4652.455,22.87
2000,1,8,21,30,4536.62333,21.37
2000,1,8,22,0,4423.075,20.78
2000,1,8,22,30,4501.505,21.8
2000,1,8,23,0,4610.51833,23.79
2000,1,8,23,30,4660.09167,24.6
2000,1,9,0,0,4413.655,22.17
2000,1,9,0,30,4127.91167,18.08
2000,1,9,1,0,3900.75833,17.5
2000,1,9,1,30,3746.43833,17.5
2000,1,9,2,0,3614.93833,17.49
2000,1,9,2,30,3556.66833,18.58
2000,1,9,3,0,3488.455,17.27
2000,1,9,3,30,3482.87833,17.26
2000,1,9,4,0,3503.85667,17.39
2000,1,9,4,30,3494.78667,17.33
2000,1,9,5,0,3476.88167,16.76
2000,1,9,5,30,3454.88,16.67
2000,1,9,6,0,3491.87,15.56
2000,1,9,6,30,3619.92667,17.9
2000,1,9,7,0,3724.905,17.39
2000,1,9,7,30,3915.97833,17.43
2000,1,9,8,0,4048.425,17.5
2000,1,9,8,30,4195.44667,17.5
2000,1,9,9,0,4327.71,17.5
2000,1,9,9,30,4414.21167,19.63
2000,1,9,10,0,4473.215,20.77
2000,1,9,10,30,4505.46167,20.84
2000,1,9,11,0,4498.30167,20.82
2000,1,9,11,30,4512.02333,20.82
2000,1,9,12,0,4529.86333,20.86
2000,1,9,12,30,4517.25667,20.88
2000,1,9,13,0,4470.41167,20.81
2000,1,9,13,30,4448.47,20.79
2000,1,9,14,0,4444.85167,20.81
2000,1,9,14,30,4437.695,20.76
2000,1,9,15,0,4406.73667,20.67
2000,1,9,15,30,4443.52667,20.79
2000,1,9,16,0,4454.425,20.77
2000,1,9,16,30,4478.06833,20.84
2000,1,9,17,0,4463.84333,20.82
2000,1,9,17,30,4573.33167,21.82
2000,1,9,18,0,4690.52,24.35
2000,1,9,18,30,4771.89833,24.51
2000,1,9,19,0,4814.385,24.53
2000,1,9,19,30,4926.985,30.86
2000,1,9,20,0,4990.84333,32.23
2000,1,9,20,30,4850.10667,24.54
2000,1,9,21,0,4692.78833,23.61
2000,1,9,21,30,4550.825,21.82
2000,1,9,22,0,4420.24333,20.77
2000,1,9,22,30,4490.71667,21.34
2000,1,9,23,0,4578.345,24.05
2000,1,9,23,30,4631.03667,24.59
2000,1,10,0,0,4381.90167,21.43
2000,1,10,0,30,4119.295,17.5
2000,1,10,1,0,3876.70667,17.5
2000,1,10,1,30,3756.19,17.5
2000,1,10,2,0,3693.91333,17.48
2000,1,10,2,30,3614.22833,14.95
2000,1,10,3,0,3608.19333,15.1
2000,1,10,3,30,3597.175,15.08
2000,1,10,4,0,3572.19667,12.98
2000,1,10,4,30,3617.68333,14.38
2000,1,10,5,0,3650.75167,15.86
2000,1,10,5,30,3783.88667,17.46
2000,1,10,6,0,3938.38667,17.5
2000,1,10,6,30,4234.25333,17.5
2000,1,10,7,0,4510.035,20.08
2000,1,10,7,30,4871.155,23.14
2000,1,10,8,0,5123.98,32.06
2000,1,10,8,30,5352.03,35.32
2000,1,10,9,0,5479.47167,38.96
2000,1,10,9,30,5548.04333,41.59
2000,1,10,10,0,5597.05,40.96
2000,1,10,10,30,5518.93333,36.26
2000,1,10,11,0,5465.45833,34.84
2000,1,10,11,30,5466.41167,34.35
2000,1,10,12,0,5471.70167,34.19
2000,1,10,12,30,5488.37167,34.51
2000,1,10,13,0,5472.93833,34.03
2000,1,10,13,30,5478.275,34.35
2000,1,10,14,0,5462.15,34.02
2000,1,10,14,30,5478.995,34.19
2000,1,10,15,0,5490.35,34.21
2000,1,10,15,30,5467.9,34.02
2000,1,10,16,0,5440.93667,34.01
2000,1,10,16,30,5429.98833,33.84
2000,1,10,17,0,5434.40167,33.98
2000,1,10,17,30,5349.585,31.63
2000,1,10,18,0,5376.08,34.02
2000,1,10,18,30,5266.40667,30.23
2000,1,10,19,0,5309.07333,33.55
2000,1,10,19,30,5407.03833,34.08
2000,1,10,20,0,5297.99,30.52
2000,1,10,20,30,5148.17667,24.51
2000,1,10,21,0,4990.255,21.83
2000,1,10,21,30,4875.18667,20.9
2000,1,10,22,0,4737.79667,20.84
2000,1,10,22,30,4839.65833,23.63
2000,1,10,23,0,4848.255,24.51
2000,1,10,23,30,4877.71667,27.2
2000,1,11,0,0,4656.45667,23.79
2000,1,11,0,30,4355.45667,19.53
2000,1,11,1,0,4102.99167,17.5
2000,1,11,1,30,3915.305,17.5
2000,1,11,2,0,3805.64,17.48
2000,1,11,2,30,3765.31333,20.37
2000,1,11,3,0,3722.07333,17.95
2000,1,11,3,30,3710.85833,21.87
2000,1,11,4,0,3700.88833,23.48
2000,1,11,4,30,3739.14667,23.48
2000,1,11,5,0,3784.58333,24.39
2000,1,11,5,30,3855.82667,24.58
2000,1,11,6,0,4004.3,17.86
2000,1,11,6,30,4289.1,17.5
2000,1,11,7,0,4553.26833,21.7
2000,1,11,7,30,4863.9,21.73
2000,1,11,8,0,5122.20833,25.07
2000,1,11,8,30,5329.23667,33.93
2000,1,11,9,0,5400.63333,34.67
2000,1,11,9,30,5409.99667,34.01
2000,1,11,10,0,5435.655,33.67
2000,1,11,10,30,5418.79667,33.3
2000,1,11,11,0,5368.81667,29.91
2000,1,11,11,30,5445.58833,34.05
2000,1,11,12,0,5436.685,34.35
2000,1,11,12,30,5364.46167,33.64
2000,1,11,13,0,5325.66333,33.64
2000,1,11,13,30,5367.2,33.93
2000,1,11,14,0,5367.29667,33.93
2000,1,11,14,30,5349.30167,33.93
2000,1,11,15,0,5302.975,33.38
2000,1,11,15,30,5289.08167,33.55
2000,1,11,16,0,5289.29,33.18
2000,1,11,16,30,5308.22333,33.67
2000,1,11,17,0,5325.75667,33.98
2000,1,11,17,30,5275.13167,34.02
2000,1,11,18,0,5221.17667,33.26
2000,1,11,18,30,5157.12333,28.62
2000,1,11,19,0,5210.315,33.09
2000,1,11,19,30,5258.21167,32.28
2000,1,11,20,0,5204.95,31.71
2000,1,11,20,30,5055.565,25.87
2000,1,11,21,0,4933.20167,23.8
2000,1,11,21,30,4764.18667,21.4
2000,1,11,22,0,4652.00667,21.8
2000,1,11,22,30,4715.94,24.38
2000,1,11,23,0,4790.20167,33.6
2000,1,11,23,30,4821.60167,34.37
2000,1,12,0,0,4555.35667,27.4
2000,1,12,0,30,4284.425,21.72
2000,1,12,1,0,4012.59333,17.5
2000,1,12,1,30,3854.04667,17.49
2000,1,12,2,0,3751.785,17.46
2000,1,12,2,30,3696.85,16.05
2000,1,12,3,0,3657.24667,16.7
2000,1,12,3,30,3633.77833,14.58
2000,1,12,4,0,3616.84833,13.14
2000,1,12,4,30,3673.35,15.55
2000,1,12,5,0,3684.86833,16.56
2000,1,12,5,30,3800.275,17.98
2000,1,12,6,0,3934.315,18.61
2000,1,12,6,30,4249.13833,18.64
2000,1,12,7,0,4511.20667,20.83
2000,1,12,7,30,4854.58833,22.81
2000,1,12,8,0,5078.64167,24.47
2000,1,12,8,30,5286.97833,31.49
2000,1,12,9,0,5427.69833,33.65
2000,1,12,9,30,5470.59333,35.21
2000,1,12,10,0,5410.35667,33.85
2000,1,12,10,30,5418.72333,33.6
2000,1,12,11,0,5382.22667,33.07
2000,1,12,11,30,5363.00833,31.97
2000,1,12,12,0,5340.62667,31.88
2000,1,12,12,30,5316.38667,32.82
2000,1,12,13,0,5305.81167,34.01
2000,1,12,13,30,5296.17333,32.71
2000,1,12,14,0,5343.95667,33.44
2000,1,12,14,30,5308.61667,32.43
2000,1,12,15,0,5224.85833,25.88
2000,1,12,15,30,5269.62333,32.69
2000,1,12,16,0,5273.82,32.69
